# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
bie ren suan chu lai 	別人算出來	c=1 d=2.30756e-14 t=8422
bing 	並	c=24 d=0.442639 t=8422
bing 	冰	c=1 d=2.23898e-12 t=8422
bing cong 	並從	c=1 d=2.08293e-15 t=8422
bing dui 	並對	c=1 d=5.28927e-08 t=8422
bing jie he 	並結合	c=1 d=2.73423e-10 t=8422
bing jin xing 	並進行	c=2 d=0.0136482 t=8422
bing mei you 	並沒有	c=1 d=4.89859e-17 t=8422
bing qie 	並且	c=1 d=0.119433 t=8422
bing ti jiao 	並提交	c=1 d=4.87415e-17 t=8422
bing xing 	並行	c=2 d=0.108987 t=8422
bing xue 	冰雪	c=2 d=4.88578e-08 t=8422
bing xue bao 	冰血暴	c=1 d=1.10916e-13 t=8422
bing yong 	並用	c=1 d=4.2682e-14 t=8422
bing yun yong 	並運用	c=1 d=8.77022e-16 t=8422
bo dong 	波動	c=1 d=0.0167392 t=8422
bo er 	波爾	c=0 d=1.10288e-06 t=8422
bo er quan zhong 	波爾權重	c=1 d=1.10841e-05 t=8422
bo ke 	博客	c=2 d=1.00554e-06 t=8422
bo re 	般若	c=2 d=1.70463 t=8422
bo shi 	博士	c=1 d=0.748264 t=8422
bo wen 	波紋	c=0 d=8.10998e-08 t=8422
bu 	不	c=2 d=0.0343896 t=8422
bu 	布	c=0 d=4.05093e-18 t=8422
bu 	步	c=1 d=2.40754e-13 t=8422
bu 	補	c=1 d=3.74788e-14 t=8422
bu chong 	補充	c=1 d=7.58127e-08 t=8422
bu da 	不大	c=2 d=3.08609e-06 t=8422
bu da pei si 	布達佩斯	c=0 d=9.053e-08 t=8422
bu da pei si te 	布達佩斯特	c=1 d=9.09837e-07 t=8422
bu dao de 	不道德	c=1 d=0.0352602 t=8422
bu deng lu 	不登錄	c=1 d=1.56235e-14 t=8422
bu duan 	不斷	c=1 d=0.0156453 t=8422
bu duan cheng shou 	不斷承受	c=1 d=0.157237 t=8422
bu duan tan suo 	不斷探索	c=1 d=0.205975 t=8422
bu dui 	不對	c=1 d=1.09813e-13 t=8422
bu er 	布爾	c=1 d=1.11955e-05 t=8422
bu fen 	部分	c=7 d=7.94394e-06 t=8422
bu hao 	不好	c=1 d=0.00295994 t=8422
bu hao kan 	不好看	c=0 d=5.01832e-08 t=8422
bu jian 	部件	c=0 d=1.66297e-14 t=8422
bu jiao 	不叫	c=1 d=0.0858632 t=8422
bu jin 	不僅	c=0 d=2.58923e-17 t=8422
bu jin you 	不僅有	c=1 d=2.60221e-16 t=8422
bu jing yi 	不經意	c=1 d=6.00802e-07 t=8422
bu jiu shi 	不就是	c=1 d=0.148823 t=8422
bu ke xin 	不可信	c=1 d=0.164474 t=8422
bu kong 	不空	c=1 d=1.32471e-14 t=8422
bu lang 	布朗	c=1 d=6.07254e-15 t=8422
bu mian fei 	不免費	c=1 d=5.01918e-09 t=8422
bu nan 	不難	c=0 d=0.00804596 t=8422
bu nan he ta 	不難和他	c=1 d=0.0808629 t=8422
